transcript	chr	gene	strand	start	end
NM_001289055.1	chr4	PIGG	+	499199	522843
NM_001289053.1	chr4	PIGG	+	499199	522843
NM_001289052.1	chr4	PIGG	+	499199	539921
NM_001289051.1	chr4	PIGG	+	499199	539921
NM_001127178.3	chr4	PIGG	+	499209	540200
NM_001127178.2	chr4	PIGG	+	499229	539529
NM_004569.5	chr14	PIGH	-	67589317	67600268
NM_004569.3	chr14	PIGH	-	67589310	67600287
NM_001363694.1	chr14	PIGH	-	67589305	67600301
NM_005482.3	chr1	PIGK	-	77088988	77219430
NM_005482.2	chr1	PIGK	-	77088989	77219426
NM_004278.4	chr17	PIGL	+	16217209	16326411
NM_004278.3	chr17	PIGL	+	16217209	16326259
NM_145167.3	chr1	PIGM	-	160024952	160031990
NM_145167.2	chr1	PIGM	-	160024952	160031991
NM_176787.5	chr18	PIGN	-	62041163	62187056
NM_176787.4	chr18	PIGN	-	62043566	62187024
NM_012327.6	chr18	PIGN	-	62041163	62187056
NM_012327.5	chr18	PIGN	-	62044548	62187038
NM_152850.3	chr9	PIGO	-	35088687	35096601
NM_032634.4	chr9	PIGO	-	35088687	35096591
NM_032634.3	chr9	PIGO	-	35088690	35096548
NM_001201484.1	chr9	PIGO	-	35088687	35096549
NM_153682.2	chr21	PIGP	-	37065363	37073158
NM_153681.2	chr21	PIGP	-	37065363	37072803
NM_016430.3	chr21	PIGP	-	37065363	37073158
NM_001320480.1	chr21	PIGP	-	37065363	37073158
NM_148920.3	chr16	PIGQ	+	569967	584138
NM_148920.2	chr16	PIGQ	+	570017	584109
NM_004204.4	chr16	PIGQ	+	569967	584138
NM_004204.3	chr16	PIGQ	+	569946	584136
NM_002644.4	chr1	PIGR	-	206928521	206946466
NM_002644.3	chr1	PIGR	-	206928517	206946466
NM_033198.4	chr17	PIGS	-	28553386	28571524
NM_033198.3	chr17	PIGS	-	28553386	28571872
NM_015937.6	chr20	PIGT	+	45416140	45426241
NM_015937.5	chr20	PIGT	+	45416076	45426244
NM_001184730.3	chr20	PIGT	+	45416140	45426241
NM_001184730.2	chr20	PIGT	+	45416109	45426042
NM_001184729.3	chr20	PIGT	+	45416140	45426241
NM_001184729.2	chr20	PIGT	+	45416136	45426241
NM_001184728.3	chr20	PIGT	+	45416140	45426241
NM_001184728.2	chr20	PIGT	+	45416143	45426244
NM_080476.4	chr20	PIGU	-	34560541	34677285
NM_017837.3	chr1	PIGV	+	26787962	26798403
NM_001202554.1	chr1	PIGV	+	26788187	26798403
NM_178517.4	chr17	PIGW	+	36534761	36539303
NM_178517.3	chr17	PIGW	+	36535554	36539310
NM_001346755.1	chr17	PIGW	+	36534761	36539303
NM_001346754.2	chr17	PIGW	+	36534986	36539303
NM_017861.4	chr3	PIGX	+	196712376	196736007
NM_017861.3	chr3	PIGX	+	196712357	196736007
NM_001166304.2	chr3	PIGX	+	196712376	196736007
NM_001166304.1	chr3	PIGX	+	196712410	196733902
NM_001042616.2	chr4	PIGY	-	88520977	88523801
NM_025163.4	chr3	PIGZ	-	196946355	196968833
NM_025163.3	chr3	PIGZ	-	196946342	196968833
NM_017916.3	chr19	PIH1D1	-	49446297	49451814
NM_017916.2	chr19	PIH1D1	-	49446298	49451810
NM_138789.3	chr11	PIH1D2	-	112067797	112074171
NM_001082619.1	chr11	PIH1D2	-	112064009	112074171
NM_173494.2	chrX	PIH1D3	+	107206610	107244247
NM_173494.1	chrX	PIH1D3	+	107206631	107244243
NM_001169154.1	chrX	PIH1D3	+	107206631	107244243
NM_152309.3	chr10	PIK3AP1	-	96593314	96720514
NM_152309.2	chr10	PIK3AP1	-	96593311	96720514
NM_002645.4	chr11	PIK3C2A	-	17086574	17207986
NM_002645.2	chr11	PIK3C2A	-	17086571	17169741
NM_001321380.2	chr11	PIK3C2A	-	17086574	17207986
NM_001321378.2	chr11	PIK3C2A	-	17086574	17207986
NM_002646.3	chr1	PIK3C2B	-	204422629	204490346
NM_004570.5	chr12	PIK3C2G	+	18261539	18648418
NM_001288774.1	chr12	PIK3C2G	+	18261539	18648418
NM_001288772.2	chr12	PIK3C2G	+	18261517	18648416
NM_002647.4	chr18	PIK3C3	+	41955233	42087830
NM_002647.3	chr18	PIK3C3	+	41955205	42087830
NM_002647.2	chr18	PIK3C3	+	41955205	42087830
NM_001308020.2	chr18	PIK3C3	+	41955233	42087830
NM_006218.4	chr3	PIK3CA	+	179148356	179240093
NM_006218.3	chr3	PIK3CA	+	179148522	179240093
NM_006219.3	chr3	PIK3CB	-	138652697	138834928
NM_006219.2	chr3	PIK3CB	-	138652698	138759359
NM_001256045.1	chr3	PIK3CB	-	138652697	138707621
NM_005026.5	chr1	PIK3CD	+	9651730	9729114
NM_005026.4	chr1	PIK3CD	+	9651744	9728919
NM_005026.3	chr1	PIK3CD	+	9651744	9728919
NM_001350235.1	chr1	PIK3CD	+	9691466	9728925
NM_001350234.2	chr1	PIK3CD	+	9689543	9729114
NM_002649.3	chr7	PIK3CG	+	106865478	106908978
NM_001282427.2	chr7	PIK3CG	+	106865281	106908980
NM_001282427.1	chr7	PIK3CG	+	106865277	106905821
NM_001282426.2	chr7	PIK3CG	+	106865281	106908980
NM_001282426.1	chr7	PIK3CG	+	106865295	106907132
NM_052880.5	chr22	PIK3IP1	-	31281599	31292488
NM_052880.4	chr22	PIK3IP1	-	31281592	31292528
NM_001135911.1	chr22	PIK3IP1	-	31281592	31292534
NM_181524.2	chr5	PIK3R1	+	68288518	68301821
NM_181524.1	chr5	PIK3R1	+	68288367	68298583
NM_181523.3	chr5	PIK3R1	+	68215755	68301821
NM_181523.2	chr5	PIK3R1	+	68215719	68301821
NM_181504.4	chr5	PIK3R1	+	68290663	68301821
NM_181504.3	chr5	PIK3R1	+	68290636	68298583
NM_001242466.2	chr5	PIK3R1	+	68292576	68301821
NM_005027.4	chr19	PIK3R2	+	18153162	18170532
NM_005027.3	chr19	PIK3R2	+	18153117	18170540
NM_003629.4	chr1	PIK3R3	-	46040139	46132629
NM_003629.3	chr1	PIK3R3	-	46040139	46132642
NM_001328654.2	chr1	PIK3R3	-	46040139	46132629
NM_001328653.2	chr1	PIK3R3	-	46040139	46132629
NM_001328652.2	chr1	PIK3R3	-	46040139	46132629
NM_001328651.1	chr1	PIK3R3	-	46040139	46130673
NM_001328650.1	chr1	PIK3R3	-	46040139	46131771
NM_001328649.1	chr1	PIK3R3	-	46040139	46133036
NM_001328648.1	chr1	PIK3R3	-	46040139	46174901
NM_001303429.2	chr1	PIK3R3	-	46040139	46132629
NM_001303428.1	chr1	PIK3R3	-	46040139	46132795
NM_001114172.1	chr1	PIK3R3	-	46040139	46133036
NM_014602.3	chr3	PIK3R4	-	130678933	130746829
NM_014602.2	chr3	PIK3R4	-	130678934	130746829
NM_014308.3	chr17	PIK3R5	-	8878915	8912517
NM_001251855.1	chr17	PIK3R5	-	8878915	8965712
NM_001251853.1	chr17	PIK3R5	-	8878915	8965712
NM_001251852.1	chr17	PIK3R5	-	8878915	8965712
NM_001251851.2	chr17	PIK3R5	-	8878915	8965707
NM_001142633.2	chr17	PIK3R5	-	8878915	8965712
NM_001290211.1	chr17	PIK3R6	-	8802722	8867677
NM_001010855.4	chr17	PIK3R6	-	8802721	8867674
NM_001010855.2	chr17	PIK3R6	-	8802736	8867677
NM_152671.3	chr2	PIKFYVE	+	208266266	208305549
NM_015040.4	chr2	PIKFYVE	+	208266254	208358746
NM_015040.3	chr2	PIKFYVE	+	208266266	208358751
NM_001178000.1	chr2	PIKFYVE	+	208266266	208305549
NM_178273.2	chr7	PILRA	+	100373486	100400096
NM_178273.1	chr7	PILRA	+	100373527	100400028
NM_178272.2	chr7	PILRA	+	100373486	100400096
NM_178272.1	chr7	PILRA	+	100373457	100400096
NM_013439.3	chr7	PILRA	+	100373486	100400096
NM_013439.2	chr7	PILRA	+	100373444	100400099
NM_178238.3	chr7	PILRB	+	100358002	100367831
NM_001371931.1	chr7	PILRB	+	100358002	100367831
NM_002648.4	chr6	PIM1	+	37170151	37175428
NM_002648.3	chr6	PIM1	+	37170202	37175426
NM_001243186.2	chr6	PIM1	+	37170151	37175428
NM_006875.4	chrX	PIM2	-	48913181	48919024
NM_001001852.4	chr22	PIM3	+	49960771	49964072
NM_001001852.3	chr22	PIM3	+	49960512	49964080
NM_019013.3	chr17	PIMREG	+	6444454	6451469
NM_001195228.2	chr17	PIMREG	+	6444454	6451469
NM_006221.3	chr19	PIN1	+	9835206	9849689
NM_006223.4	chrX	PIN4	+	72181756	72198340
NM_006223.3	chrX	PIN4	+	72181678	72198344
NM_001170747.1	chrX	PIN4	+	72181675	72263964
NM_032409.3	chr1	PINK1	+	20633457	20651511
NM_032409.2	chr1	PINK1	+	20633454	20651511
NM_001321124.1	chr19	PINLYP	+	43580605	43582104
NM_001193622.1	chr19	PINLYP	+	43580543	43582104
NM_001193621.2	chr19	PINLYP	+	43576799	43582104
NM_001193621.1	chr19	PINLYP	+	43576799	43582103
NM_017884.6	chr8	PINX1	-	10764960	10839875
NM_017884.5	chr8	PINX1	-	10764962	10839876
NM_001284356.1	chr8	PINX1	-	10764960	10839899
NM_002652.3	chr7	PIP	+	143132076	143139739
NM_002652.2	chr7	PIP	+	143132076	143139746
NM_005028.5	chr10	PIP4K2A	-	22534853	22714578
NM_005028.4	chr10	PIP4K2A	-	22534848	22714555
NM_001330062.1	chr10	PIP4K2A	-	22534836	22714108
NM_003559.4	chr17	PIP4K2B	-	38765690	38799905
NM_024779.5	chr12	PIP4K2C	+	57591191	57603418
NM_024779.4	chr12	PIP4K2C	+	57591202	57603418
NM_001146260.2	chr12	PIP4K2C	+	57591191	57603418
NM_001146260.1	chr12	PIP4K2C	+	57591173	57601926
NM_001146259.2	chr12	PIP4K2C	+	57591191	57603418
NM_001146259.1	chr12	PIP4K2C	+	57591242	57601879
NM_001146258.2	chr12	PIP4K2C	+	57591191	57603418
NM_144568.3	chr14	PIP4P1	-	20457852	20461612
NM_001100814.2	chr14	PIP4P1	-	20457852	20461612
NM_018710.3	chr8	PIP4P2	-	90993801	91040859
NM_018710.2	chr8	PIP4P2	-	90993795	91041064
NM_003557.3	chr1	PIP5K1A	+	151198551	151249531
NM_003557.2	chr1	PIP5K1A	+	151198550	151249536
NM_001330689.2	chr1	PIP5K1A	+	151198551	151249531
NM_001135638.2	chr1	PIP5K1A	+	151198551	151249531
NM_001135638.1	chr1	PIP5K1A	+	151198574	151247888
NM_001135637.2	chr1	PIP5K1A	+	151198551	151249531
NM_001135637.1	chr1	PIP5K1A	+	151198552	151249531
NM_001135636.2	chr1	PIP5K1A	+	151198551	151249531
NM_001135636.1	chr1	PIP5K1A	+	151198552	151248149
NM_003558.4	chr9	PIP5K1B	+	68705239	69009176
NM_003558.3	chr9	PIP5K1B	+	68705699	69009175
NM_001278253.1	chr9	PIP5K1B	+	68705413	69009176
NM_012398.3	chr19	PIP5K1C	-	3630182	3700468
NM_012398.2	chr19	PIP5K1C	-	3630182	3700479
NM_001300849.2	chr19	PIP5K1C	-	3636600	3700468
NM_001300849.1	chr19	PIP5K1C	-	3636600	3700390
NM_001195733.2	chr19	PIP5K1C	-	3630182	3700468
NM_001195733.1	chr19	PIP5K1C	-	3632875	3700465
NM_173492.1	chr9	PIP5KL1	-	127921528	127927491
NM_001135219.2	chr9	PIP5KL1	-	127920880	127930777
NM_001135219.1	chr9	PIP5KL1	-	127920878	127930797
NM_016518.3	chr17	PIPOX	+	29043140	29057216
NM_016518.2	chr17	PIPOX	+	29042899	29057220
NM_003662.3	chrX	PIR	-	15384798	15493588
NM_001018109.3	chrX	PIR	-	15384798	15493333
NM_001101387.2	chr17	PIRT	-	10822469	10838087
NM_001101387.1	chr17	PIRT	-	10822474	10838445
NM_178022.2	chr22	PISD	-	31618490	31638523
NM_014338.3	chr22	PISD	-	31618490	31630824
NM_001326421.1	chr22	PISD	-	31618490	31662564
NM_001326420.2	chr22	PISD	-	31618490	31662215
NM_001326419.2	chr22	PISD	-	31618490	31662215
NM_001326418.2	chr22	PISD	-	31618490	31662215
NM_001326417.2	chr22	PISD	-	31618490	31662215
NM_001326416.2	chr22	PISD	-	31618490	31662215
NM_001326415.2	chr22	PISD	-	31618490	31662215
NM_001326414.2	chr22	PISD	-	31618490	31662215
NM_001326413.2	chr22	PISD	-	31618490	31662215
NM_001326412.1	chr22	PISD	-	31618490	31662564
NM_001326411.1	chr22	PISD	-	31618490	31662564
NM_020362.5	chr1	PITHD1	+	23778417	23788232
NM_020362.4	chr1	PITHD1	+	23778404	23788232
NM_006224.4	chr17	PITPNA	-	1517717	1562792
NM_006224.3	chr17	PITPNA	-	1517717	1562816
NM_012399.5	chr22	PITPNB	-	27851668	27919256
NM_012399.4	chr22	PITPNB	-	27851668	27919268
NM_001284278.1	chr22	PITPNB	-	27851668	27919214
NM_001284277.1	chr22	PITPNB	-	27851668	27919306
NM_181671.3	chr17	PITPNC1	+	67377280	67697256
NM_181671.2	chr17	PITPNC1	+	67377458	67697256
NM_012417.4	chr17	PITPNC1	+	67377280	67697256
NM_012417.3	chr17	PITPNC1	+	67378154	67693013
NM_004910.3	chr11	PITPNM1	-	67491767	67505363
NM_004910.2	chr11	PITPNM1	-	67491768	67505372
NM_001130848.2	chr11	PITPNM1	-	67491767	67505363
NM_001130848.1	chr11	PITPNM1	-	67491767	67505365
NM_020845.2	chr12	PITPNM2	-	122983479	123110428
NM_001300801.1	chr12	PITPNM2	-	122983479	123110489
NM_031220.4	chr17	PITPNM3	-	6451262	6556555
NM_031220.3	chr17	PITPNM3	-	6451264	6556494
NM_001165966.2	chr17	PITPNM3	-	6451262	6556555
NM_001165966.1	chr17	PITPNM3	-	6451263	6556460
NM_014889.4	chr10	PITRM1	-	3137727	3172782
NM_014889.3	chr10	PITRM1	-	3137729	3172807
NM_001347730.1	chr10	PITRM1	-	3137726	3172716
NM_001347729.1	chr10	PITRM1	-	3137726	3172716
NM_001347728.2	chr10	PITRM1	-	3137727	3172782
NM_001347727.2	chr10	PITRM1	-	3137727	3172782
NM_001347726.2	chr10	PITRM1	-	3137727	3172782
NM_001347725.2	chr10	PITRM1	-	3137727	3172782
NM_001242309.1	chr10	PITRM1	-	3137727	3172841
NM_001242307.1	chr10	PITRM1	-	3137726	3172841
NM_002653.5	chr5	PITX1	-	135027733	135034228
NM_002653.4	chr5	PITX1	-	135027734	135034298
NM_153427.2	chr4	PITX2	-	110617422	110642123
NM_153426.2	chr4	PITX2	-	110617422	110642123
NM_001204399.1	chr4	PITX2	-	110617422	110642123
NM_001204398.1	chr4	PITX2	-	110617422	110642123
NM_001204397.1	chr4	PITX2	-	110617422	110642123
NM_000325.6	chr4	PITX2	-	110617422	110623077
NM_000325.5	chr4	PITX2	-	110617422	110623103
NM_005029.4	chr10	PITX3	-	102230188	102241512
NM_005029.3	chr10	PITX3	-	102230185	102241474
NM_004764.5	chr12	PIWIL1	+	130337886	130372637
NM_004764.4	chr12	PIWIL1	+	130337886	130372637
NM_001190971.2	chr12	PIWIL1	+	130337886	130371383
NM_018068.5	chr8	PIWIL2	+	22275315	22357568
NM_018068.3	chr8	PIWIL2	+	22275296	22357563
NM_001330480.2	chr8	PIWIL2	+	22275315	22357568
NM_001135721.2	chr8	PIWIL2	+	22275566	22356866
NM_001135721.1	chr8	PIWIL2	+	22275566	22355516
NM_001255975.1	chr22	PIWIL3	-	24719033	24774720
NM_001008496.3	chr22	PIWIL3	-	24719033	24774720
NM_152431.3	chr11	PIWIL4	+	94567367	94621421
NM_152431.2	chr11	PIWIL4	+	94567307	94621421
NM_145119.4	chrX	PJA1	-	69160745	69165453
NM_022368.5	chrX	PJA1	-	69160745	69165453
NM_001032396.3	chrX	PJA1	-	69160745	69165453
NM_014819.5	chr5	PJA2	-	109334721	109409974
NM_014819.4	chr5	PJA2	-	109334708	109409994
NM_001369912.1	chr2	PJVK	+	178453238	178461566
NM_001353778.1	chr2	PJVK	+	178452343	178461566
NM_001353777.1	chr2	PJVK	+	178451435	178461566
NM_001353776.1	chr2	PJVK	+	178452343	178461566
NM_001353775.1	chr2	PJVK	+	178451435	178461566
NM_001042702.4	chr2	PJVK	+	178451435	178461566
NM_016653.2	chr2	pk	+	173075958	173268010
NM_001009944.3	chr16	PKD1	-	2088707	2135898
NM_001009944.2	chr16	PKD1	-	2088709	2135898
NM_000296.4	chr16	PKD1	-	2088707	2135898
NM_000296.3	chr16	PKD1	-	2088709	2135898
NM_138295.4	chr7	PKD1L1	-	47774651	47948491
NM_138295.3	chr7	PKD1L1	-	47774651	47948491
NM_052892.3	chr16	PKD1L2	-	81100878	81220370
NM_001278425.2	chr16	PKD1L2	-	81100874	81181331
NM_001278425.1	chr16	PKD1L2	-	81101122	81181213
NM_001278423.2	chr16	PKD1L2	-	81170288	81181331
NM_001278423.1	chr16	PKD1L2	-	81170288	81181329
NM_001076780.2	chr16	PKD1L2	-	81170288	81220394
NM_001076780.1	chr16	PKD1L2	-	81170288	81220370
NM_181536.1	chr16	PKD1L3	-	71929537	71999978
NM_000297.4	chr4	PKD2	+	88007634	88077777
NM_000297.3	chr4	PKD2	+	88007667	88077777
NM_016112.3	chr10	PKD2L1	-	100288148	100330228
NM_016112.2	chr10	PKD2L1	-	100288153	100330486
NM_001253837.2	chr10	PKD2L1	-	100288148	100330228
NM_014386.4	chr5	PKD2L2	+	137889456	137940484
NM_001300921.2	chr5	PKD2L2	+	137889456	137942747
NM_001300921.1	chr5	PKD2L2	+	137889465	137942747
NM_001258449.2	chr5	PKD2L2	+	137889456	137940484
NM_001258449.1	chr5	PKD2L2	+	137889436	137940484
NM_001258448.2	chr5	PKD2L2	+	137889456	137940484
NM_001258448.1	chr5	PKD2L2	+	137889460	137940417
NM_138370.3	chr2	PKDCC	+	42048020	42058517
NM_138370.2	chr2	PKDCC	+	42048019	42058528
NM_006071.2	chr22	PKDREJ	-	46255662	46263343
NM_006071.1	chr22	PKDREJ	-	46255662	46263355
NM_170724.3	chr6	PKHD1	-	51720848	52087613
NM_138694.4	chr6	PKHD1	-	51615298	52087613
NM_138694.3	chr6	PKHD1	-	51615299	52087625
NM_177531.6	chr8	PKHD1L1	+	109362460	109537207
NM_177531.4	chr8	PKHD1L1	+	109362476	109530330
NM_181839.3	chr8	PKIA	+	78516339	78605267
NM_181839.2	chr8	PKIA	+	78516138	78605267
NM_006823.4	chr8	PKIA	+	78516339	78605267
NM_181795.3	chr6	PKIB	+	122610404	122726373
NM_181795.2	chr6	PKIB	+	122610231	122725892
NM_181794.2	chr6	PKIB	+	122471916	122726373
NM_032471.5	chr6	PKIB	+	122610231	122726373
NM_001270395.1	chr6	PKIB	+	122652728	122726373
NM_001270394.1	chr6	PKIB	+	122471916	122726373
NM_001270393.1	chr6	PKIB	+	122471916	122726373
NM_181805.2	chr20	PKIG	+	44531780	44619037
NM_181804.2	chr20	PKIG	+	44531780	44619037
NM_007066.5	chr20	PKIG	+	44531874	44619037
NM_007066.4	chr20	PKIG	+	44531784	44619037
NM_001281445.2	chr20	PKIG	+	44582578	44619037
NM_001281445.1	chr20	PKIG	+	44582548	44619037
NM_001281444.1	chr20	PKIG	+	44531780	44619037
NM_181871.4	chr1	PKLR	-	155289292	155300952
NM_181871.3	chr1	PKLR	-	155289292	155301001
NM_000298.6	chr1	PKLR	-	155289292	155301438
NM_000298.5	chr1	PKLR	-	155290252	155301434
NM_182471.4	chr15	PKM	-	72199028	72231190
NM_182471.2	chr15	PKM	-	72199028	72231386
NM_182470.3	chr15	PKM	-	72199028	72231624
NM_002654.6	chr15	PKM	-	72199028	72231190
NM_002654.5	chr15	PKM	-	72199031	72231206
NM_002654.4	chr15	PKM	-	72199031	72231206
NM_001316318.2	chr15	PKM	-	72199028	72231190
NM_001206799.2	chr15	PKM	-	72199028	72229911
NM_001206799.1	chr15	PKM	-	72199628	72229722
NM_001206798.2	chr15	PKM	-	72199028	72231624
NM_001206798.1	chr15	PKM	-	72199028	72231386
NM_001206797.2	chr15	PKM	-	72199028	72231624
NM_001206797.1	chr15	PKM	-	72199028	72231386
NM_001206796.3	chr15	PKM	-	72199028	72231190
NM_182687.3	chr16	PKMYT1	-	2972807	2980446
NM_182687.2	chr16	PKMYT1	-	2972790	2980391
NM_004203.5	chr16	PKMYT1	-	2972807	2980446
NM_004203.4	chr16	PKMYT1	-	2972790	2980539
NM_001258451.2	chr16	PKMYT1	-	2972807	2980446
NM_001258451.1	chr16	PKMYT1	-	2972818	2980424
NM_001258450.2	chr16	PKMYT1	-	2972807	2980446
NM_001258450.1	chr16	PKMYT1	-	2972848	2980439
NM_213560.3	chr19	PKN1	+	14440276	14471859
NM_213560.1	chr19	PKN1	+	14440259	14471866
NM_002741.5	chr19	PKN1	+	14433305	14471859
NM_002741.3	chr19	PKN1	+	14433356	14471859
NM_006256.4	chr1	PKN2	+	88684272	88836255
NM_006256.3	chr1	PKN2	+	88684221	88836255
NM_006256.2	chr1	PKN2	+	88684221	88836255
NM_001320709.2	chr1	PKN2	+	88684272	88836255
NM_001320708.2	chr1	PKN2	+	88684272	88836255
NM_001320707.1	chr1	PKN2	+	88684143	88836255
NM_013355.5	chr9	PKN3	+	128702502	128720916
NM_013355.4	chr9	PKN3	+	128702522	128720918
NM_001317926.2	chr9	PKN3	+	128702502	128720916
NM_004571.5	chr21	PKNOX1	+	42974561	43033931
NM_004571.4	chr21	PKNOX1	+	42974509	43033582
NM_001320694.2	chr21	PKNOX1	+	42974561	43033931
NM_001286258.1	chr21	PKNOX1	+	42974509	43033931
NM_022062.3	chr11	PKNOX2	+	125235036	125433389
NM_022062.2	chr11	PKNOX2	+	125164705	125433389
NM_001005337.3	chr1	PKP1	+	201283505	201332989
NM_001005337.2	chr1	PKP1	+	201283451	201332993
NM_000299.3	chr1	PKP1	+	201283451	201332993
NM_004572.3	chr12	PKP2	-	32790745	32896846
NM_001005242.2	chr12	PKP2	-	32790745	32896846
NM_007183.4	chr11	PKP3	+	394208	404908
NM_007183.3	chr11	PKP3	+	394216	404908
NM_007183.2	chr11	PKP3	+	394216	404908
NM_001303029.2	chr11	PKP3	+	392595	404908
NM_003628.5	chr2	PKP4	+	158456951	158682890
NM_003628.3	chr2	PKP4	+	158457111	158681429
NM_001304971.1	chr2	PKP4	+	158456879	158666660
NM_001304970.2	chr2	PKP4	+	158456951	158682890
NM_001304969.2	chr2	PKP4	+	158456951	158682890
NM_001005476.3	chr2	PKP4	+	158456951	158682890
NM_001005476.1	chr2	PKP4	+	158457098	158682879
NM_015900.4	chr3	PLA1A	+	119597884	119629811
NM_015900.3	chr3	PLA1A	+	119597841	119629811
NM_001293225.1	chr3	PLA1A	+	119600270	119629811
NM_001206961.1	chr3	PLA1A	+	119597847	119629811
NM_001206960.1	chr3	PLA1A	+	119597847	119629811
NM_003561.2	chr16	PLA2G10	-	14672547	14694573
NM_003561.1	chr16	PLA2G10	-	14672544	14694669
NM_030821.5	chr4	PLA2G12A	-	109709988	109730070
NM_030821.4	chr4	PLA2G12A	-	109709988	109730077
NM_032562.5	chr10	PLA2G12B	-	72934761	72954806
NM_032562.4	chr10	PLA2G12B	-	72935169	72954778
NM_001318125.2	chr10	PLA2G12B	-	72934761	72954806
NM_001318124.2	chr10	PLA2G12B	-	72934761	72954806
NM_012320.4	chr16	PLA2G15	+	68245372	68261058
NM_012320.3	chr16	PLA2G15	+	68245343	68261062
NM_001363551.2	chr16	PLA2G15	+	68245372	68261058
NM_000928.3	chr12	PLA2G1B	-	120322114	120327779
NM_000928.2	chr12	PLA2G1B	-	120322110	120327789
NM_001161729.1	chr1	PLA2G2A	-	19975430	19979659
NM_001161728.2	chr1	PLA2G2A	-	19975434	19980434
NM_001161728.1	chr1	PLA2G2A	-	19975437	19980416
NM_001161727.2	chr1	PLA2G2A	-	19975434	19980434
NM_000300.4	chr1	PLA2G2A	-	19975434	19980434
NM_001367969.1	chr1	PLA2G2C	-	20163054	20177439
NM_001316722.2	chr1	PLA2G2C	-	20163054	20177439
NM_001105572.1	chr1	PLA2G2C	-	20163990	20175194
NM_012400.4	chr1	PLA2G2D	-	20111938	20119536
NM_012400.3	chr1	PLA2G2D	-	20111938	20119557
NM_001271814.1	chr1	PLA2G2D	-	20112649	20119566
NM_014589.3	chr1	PLA2G2E	-	19920008	19923617
NM_022819.4	chr1	PLA2G2F	+	20139322	20150381
NM_001360869.2	chr1	PLA2G2F	+	20139322	20150381
NM_015715.5	chr22	PLA2G3	-	31134806	31140508
NM_015715.4	chr22	PLA2G3	-	31134808	31140607
NM_024420.2	chr1	PLA2G4A	+	186828899	186988981
NM_001311193.2	chr1	PLA2G4A	+	186828948	186988981
NM_001114633.1	chr15	PLA2G4B	+	41838812	41848148
NM_003706.3	chr19	PLA2G4C	-	48047845	48110817
NM_003706.2	chr19	PLA2G4C	-	48048342	48110812
NM_001159323.1	chr19	PLA2G4C	-	48047842	48110852
NM_001159322.1	chr19	PLA2G4C	-	48047842	48110852
NM_178034.4	chr15	PLA2G4D	-	42067008	42094562
NM_178034.3	chr15	PLA2G4D	-	42067682	42094554
NM_001206670.1	chr15	PLA2G4E	-	41981581	42050703
NM_213600.4	chr15	PLA2G4F	-	42139033	42156636
NM_213600.3	chr15	PLA2G4F	-	42139033	42156636
NM_000929.3	chr1	PLA2G5	+	20070193	20091911
NM_000929.2	chr1	PLA2G5	+	20070207	20091168
NM_003560.4	chr22	PLA2G6	-	38111494	38181830
NM_003560.3	chr22	PLA2G6	-	38111494	38181802
NM_003560.2	chr22	PLA2G6	-	38111494	38181802
NM_001349869.2	chr22	PLA2G6	-	38111494	38181830
NM_001349868.2	chr22	PLA2G6	-	38111494	38181830
NM_001349867.2	chr22	PLA2G6	-	38111494	38181830
NM_001349866.2	chr22	PLA2G6	-	38111494	38181830
NM_001349865.2	chr22	PLA2G6	-	38111494	38181830
NM_001349864.2	chr22	PLA2G6	-	38111494	38181830
NM_001199562.3	chr22	PLA2G6	-	38111494	38181830
NM_001199562.1	chr22	PLA2G6	-	38111499	38181829
NM_001004426.2	chr22	PLA2G6	-	38111494	38181830
NM_001004426.1	chr22	PLA2G6	-	38111495	38181754
NM_005084.4	chr6	PLA2G7	-	46704200	46735375
NM_005084.3	chr6	PLA2G7	-	46704200	46735342
NM_001168357.1	chr6	PLA2G7	-	46704315	46735693
NM_007366.5	chr2	PLA2R1	-	159932005	160062615
NM_007366.4	chr2	PLA2R1	-	159937850	160062610
NM_001195641.2	chr2	PLA2R1	-	159932005	160062615
NM_001007267.2	chr2	PLA2R1	-	159945814	160062615
NM_001321546.1	chr9	PLAA	-	26903449	26947473
NM_001031689.3	chr9	PLAA	-	26903371	26947242
NM_001031689.2	chr9	PLAA	-	26904082	26947463
NM_020386.5	chr3	PLAAT1	+	193241221	193270855
NM_001366112.1	chr3	PLAAT1	+	193241221	193270855
NM_017878.2	chr11	PLAAT2	-	63552769	63563379
NM_007069.3	chr11	PLAAT3	-	63574461	63614437
NM_001128203.1	chr11	PLAAT3	-	63574461	63614469
NM_004585.5	chr11	PLAAT4	+	63536807	63546458
NM_054108.4	chr11	PLAAT5	-	63461403	63491167
NM_001146729.2	chr11	PLAAT5	-	63461403	63491167
NM_001146728.2	chr11	PLAAT5	-	63461403	63491167
NM_021796.4	chrX	PLAC1	-	134565837	134658471
NM_021796.3	chrX	PLAC1	-	134565837	134658483
NM_001316889.1	chrX	PLAC1	-	134565842	134658483
NM_001316888.1	chrX	PLAC1	-	134565842	134733636
NM_001316887.1	chrX	PLAC1	-	134565842	134764322
NM_182832.2	chr21	PLAC4	-	41175230	41180818
NM_016619.3	chr4	PLAC8	-	83090047	83114729
NM_016619.2	chr4	PLAC8	-	83090047	83114802
NM_001130716.2	chr4	PLAC8	-	83090047	83109889
NM_001130716.1	chr4	PLAC8	-	83090687	83109843
